No,Model Adı (TR),Model Name (EN),Kategori,Amacı (TR),Purpose (EN),Anahtar Kavramlar (TR),Keywords (EN),Standartlar
1,Kredi Skorlama Modeli,Credit Scoring Model,Kredi Riski,"Bireysel müşterilerin kredi başvurularında demografik bilgileri, gelir durumu, mevcut borç yükü ve geçmiş ödeme davranışlarını analiz ederek geri ödeme olasılığını 300-900 aralığında bir skor olarak hesaplar. Kredi onay/red kararını destekler ve risk bazlı fiyatlandırma sağlar.","Analyzes individual customer credit applications using demographic data, income, existing debt burden, and historical payment behavior to compute repayment probability as a score between 300-900. Supports loan approval/rejection decisions and enables risk-based pricing.",FICO benzeri skor; KKB raporu; adil kredi raporlama; ayrımcılık etkisi analizi; başvuru risk değerlendirmesi; bireysel kredi; demografik analiz; düşük kredi dosyası; gelir analizi; kredi geçmişi süresi; kredi karması; kredi kullanım oranı; kredi notu; kredi notu dağılımı; kredi skoru; model risk yönetimi; olumsuz işlem bildirimi; risk bazlı fiyatlandırma bildirimi; sert kredi sorgusu; skorlama noktaları tahsisi; tüketici kredisi; yeni kredi sorgusu; ödeme geçmişi; ödeme geçmişi ağırlığı,ECOA Regulation B; Equifax; Experian; FICO Score 10T; FICO Score 8; FICO model; Fair Credit Reporting Act (FCRA); SR 11-7 model risk management; TransUnion; VantageScore 4.0; adverse action notice; consumer lending; credit bureau; credit history; credit inquiry hard pull; credit mix 10%; credit rating; credit score; credit utilization ratio 30%; demographic scoring; disparate impact analysis; income verification; length of credit history 15%; loan eligibility; new credit inquiries 10%; payment history weight 35%; retail credit; risk-based pricing notice; scorecard points allocation; thin-file applicant,Basel III IRB; FICO Score; VantageScore; KKB; BDDK
2,Temerrüt Olasılığı Modeli,Probability of Default Model,Kredi Riski,Verilen bir kredinin önümüzdeki 12 ay içinde temerrüde düşme olasılığını yüzdesel olarak tahmin eder. Basel III ve IV düzenlemeleri kapsamında zorunlu olup beklenen kredi kayıplarının (ECL) hesaplanmasında kullanılır. Lojistik regresyon ve XGBoost gibi sınıflandırma algoritmaları yaygındır.,Predicts the probability that a granted loan will default within the next 12 months as a percentage. Required under Basel III and IV regulations and used for Expected Credit Loss (ECL) calculations. Commonly built with logistic regression and XGBoost classification algorithms.,12-aylık temerrüt; ECL hesabı; PD; XGBoost; anlık temerrüt olasılığı; ayırt edici güç; beklenen kredi kaybı; birikimli doğruluk profili; default olasılığı; derecelendirme göç matrisi; döngü boyunca temerrüt olasılığı; ileriye dönük bilgi; karşılık modeli; kredi riskinde önemli artış; lojistik regresyon; makroekonomik senaryo bindirmesi; merkezi eğilime kalibrasyon; model geriye dönük testi; popülasyon kararlılık endeksi; risk parametresi; temerrüt olasılığı vade yapısı eğrisi; temerrüt riski; ömür boyu temerrüt olasılığı,"12-month PD vs lifetime PD; 12-month default; Basel III CRE31 IRB approach; CECL (US GAAP); ECL = PD x LGD x EAD; ECL calculation; Hosmer-Lemeshow test; IFRS 9 Stage 1/2/3; PD; PD term structure curve; SICR significant increase in credit risk; Vasicek single-factor model; XGBoost; calibration to central tendency; cumulative accuracy profile (CAP); default probability; discriminatory power (Gini, AUC-ROC); expected credit loss; forward-looking information; logistic regression; macroeconomic scenario overlay; model backtesting; point-in-time PD (PIT PD); population stability index (PSI); provisioning model; rating migration matrix; risk parameter; through-the-cycle PD (TTC PD)",Basel III IRB; Basel IV; IFRS 9 ECL; BDDK
3,Temerrüt Halinde Kayıp Modeli,Loss Given Default Model,Kredi Riski,"Bir müşteri kredisini temerrüde düşürdüğünde bankanın geri toplayamayacağı tutarın krediye oranını tahmin eder. Teminat değeri, teminat tipi, ürün özellikleri ve sektör verilerini kullanarak kayıp oranını yüzde olarak verir. Karşılık ayırma ve sermaye yeterliliği hesaplamalarında kritiktir.","Estimates the percentage of a loan amount that the bank will not be able to recover when a customer defaults. Uses collateral value, collateral type, product features, and sector data to provide loss rate as a percentage. Critical for provisioning and capital adequacy calculations.",LGD; alacak önceliği; doğrudan ve dolaylı tahsilat maliyetleri; durgunluk dönemi LGD tahmini; ekonomik kayıp ve muhasebe kaybı; geri kazanım nakit akışları iskonto oranı; geri kazanım oranı; haircut; ileriye dönük LGD; iyileşme oranı; karşılık ayırma; kayıp oranı; piyasa bazlı LGD; recovery rate; sermaye yeterliliği; tahsilat sürecine dayalı LGD; tahsilat süresi uzunluğu; teminat değerlemesi; teminat geri kazanım oranı; teminatsız taban değer %25; zorunlu satış iskontosu,Basel III CRE36; IFRS 9 forward-looking LGD; LGD; LGD floor 25% unsecured; Tobit regression; beta regression model; capital adequacy; censored gamma regression; collateral recovery rate; collateral valuation; cure rate (probability of cure); direct vs indirect recovery costs; discount rate for recovery cash flows; downturn LGD; downturn LGD estimation; economic loss vs accounting loss; forced sale discount; haircut; implied market LGD; inflated beta regression; loss rate; market LGD; provisioning; recovery rate; seniority of claim; workout LGD; workout period length,Basel III IRB; IFRS 9; BDDK; ICAAP
4,Temerrüt Anındaki Risk Tutarı Modeli,Exposure at Default Model,Kredi Riski,"Bir kredi temerrüde düştüğü anda bankanın risk altındaki tutarını tahmin eder. Özellikle kredi kartları, rotatif krediler ve taahhüt edilmiş kredi limitleri için müşteri kullanım davranışı modellenir. Beklenen kayıp formülünün üç ana bileşeninden biridir.","Estimates the bank's exposure amount at the moment of default. Customer utilization behavior is modeled especially for credit cards, revolving credits, and committed credit limits. One of the three main components of the expected loss formula.",CCF; EAD; boru hattı riski; borçlu kullanım davranışı; credit conversion factor; garanti riski; kart limit kullanımı; koşullu yükümlülük; kredi dönüşüm faktörü; kullanılmamış taahhüt; limit boşluk kullanımı; maruz kalma; off-balance sheet; risk tutarı; rotatif kredi; taahhütlü ve taahhütsüz kredi; temerrütte kullanım oranı; vadesiz kredi hesabı EAD; çekilen tutar artı CCF çarpı kullanılmamış,A-IRB own-estimate CCF; Basel III CRE32; CCF; CCF floor 100% FIRB uncommitted; CCF floor 75% FIRB committed; EAD; EAD = drawn + CCF x undrawn; F-IRB regulatory CCF; IFRS 9 EAD estimation; OLS regression for CCF; committed limit; committed vs uncommitted facility; contingent liability; credit conversion factor; credit conversion factor (CCF); exposure amount; guarantee exposure; headroom utilization; loan equivalent exposure (LEQ); off-balance sheet; overdraft facility EAD; pipeline exposure; revolving credit; undrawn commitment; utilization rate at default,Basel III IRB; CCF; Basel IV; BDDK
5,Başvuru Skorkartı,Application Scorecard,Kredi Riski,"Yeni kredi başvurusu yapan müşterileri başvuru anında saniyeler içinde değerlendirir. Demografik bilgiler, gelir beyanı, KKB raporu ve banka içi geçmiş kullanılarak Onayla/Reddet/Manuel İncele kararı üretilir. Şubeye gelmeden dijital kanaldan kredi tahsisini mümkün kılar.","Evaluates new loan applicants instantly within seconds at application time. Produces an Approve/Reject/Manual Review decision using demographic data, declared income, credit bureau reports, and internal banking history. Enables digital loan origination without branch visits.",Gini katsayısı; KKB sorgu; Kolmogorov-Smirnov istatistiği; anlık karar; başvuru filtreleme; başvuru skorlama; bilgi değeri (IV); değişken gruplama; değişken kararlılık endeksi; dijital kredi; dijital kredi tahsisi; ince sınıflama ve kaba sınıflama; instant decision; kanıt ağırlığı (WoE); olumsuz işlem neden kodları; onay-red kararı; oranları ikiye katlama puanı; popülasyon kararlılık endeksi; ret çıkarımı; skorlama noktası ölçekleme; takas seti analizi; şampiyon-rakip testi,ECOA fair lending; FDIC scoring guidelines; Fair Credit Reporting Act (FCRA); Gini coefficient; Information Value (IV); Kolmogorov-Smirnov (KS) statistic; PDO (points to double odds); Weight of Evidence (WoE); adverse action reason codes; application scoring; approve-reject; bureau pull; champion-challenger testing; characteristic binning; characteristic stability index (CSI); digital loan origination; fine classing and coarse classing; first-stage filtering; instant credit; instant decision; logistic regression scorecard; population stability index (PSI); reject inference; scorecard points scaling; swap-set analysis,Basel III; KKB integration; Fair lending; ECOA
6,Davranışsal Skorkart,Behavioral Scorecard,Kredi Riski,"Mevcut kredi müşterilerinin son 6 ila 12 aylık hesap hareketleri, ödeme alışkanlıkları, kart kullanımı ve gecikme paternlerini analiz ederek risk skorunu periyodik olarak günceller. Kredi limiti artışı veya düşürmesi, faiz oranı revizyonu ve ek ürün önerilerinde temel girdi olarak kullanılır.","Periodically updates risk scores of existing loan customers by analyzing 6 to 12 months of account activity, payment habits, card usage, and delinquency patterns. Used as the primary input for credit limit increases/decreases, interest rate revisions, and additional product offerings.",aktif müşteri risk; asgari ödeme oranı; aylık skor güncelleme döngüsü; bakiye oynaklığı; davranış analizi; davranışsal skor; defter üzerinde ay sayısı; dönem analizi (vintage); erken uyarı sinyali; faiz revizyonu; gecikme dilimi (DPD bantları); gecikme günü sayısı; gecikme paterni; geçiş matrisi (Markov zinciri); hesap hareketsizlik göstergesi; kayma oranı analizi; kredi limiti kullanım trendi; limit aşım sıklığı; limit revizyonu; mevcut müşteri; nakit avans kullanım paterni; portföy izleme; ödeme-bakiye oranı,account dormancy indicator; active customer risk; balance volatility; behavior analysis; behavioral score; bureau-refreshed attributes; cash advance usage pattern; credit limit utilization trend; days past due (DPD); delinquency bucket (DPD bands); delinquency pattern; early warning signal (EWS); existing customer; limit revision; minimum payment ratio; monthly score refresh cycle; months on book (MOB); overlimit frequency; payment-to-balance ratio; portfolio monitoring; proactive limit management; rate revision; recency frequency monetary (RFM) behavior; roll rate analysis; transition matrix (Markov chain); vintage analysis,Basel III ongoing monitoring; portfolio management
7,Tahsilat Skorlama Modeli,Collection Scoring Model,Kredi Riski,"Borcunu zamanında ödemeyen veya temerrüde düşen müşterilerin tahsilat sürecinde hangi yöntemle (SMS hatırlatma, telefon araması, hukuki süreç, yapılandırma teklifi) en yüksek geri dönüş elde edileceğini tahmin eder. Tahsilat ekibinin operasyonel verimliliğini artırır ve gereksiz hukuki masrafları azaltır.","Predicts which collection method (SMS reminder, phone call, legal process, restructuring offer) will yield the highest recovery rate from customers who miss payments or default. Increases operational efficiency of collection teams and reduces unnecessary legal expenses.",SMS hatırlatma; collection; doğru kişiye ulaşma oranı; en iyi arama zamanı modeli; gecikme dönemine göre segmentasyon; geri toplama; hukuki süreç; icra mektubu optimizasyonu; iletişim kanalı optimizasyonu; iyileşme oranı tahmini; kendiliğinden iyileşme olasılığı; kişi bulma (skip tracing); mali zorluk işareti; net geri kazanım oranı; recovery; tahsilat ekibi; tahsilat skorlama; telefon araması; yapılandırma; zarar yazma ve silme; ödeme düzenlemesi skorlaması; ödeme eğilimi modeli; ödeme sözü oranı,FDCPA compliance; Regulation F (CFPB); SMS reminder; TCPA call restrictions; best-time-to-call model; collection scoring; contact channel optimization; cure rate prediction; debt recovery; dunning letter optimization; hardship flag; legal action; net recovery rate; payment arrangement scoring; phone collection; promise-to-pay (PTP) rate; propensity-to-pay model; recovery; recovery prediction; restructuring; right-party contact (RPC) rate; self-cure probability; skip tracing; treatment strategy waterfall; vintage delinquency segmentation; write-off vs charge-off,Internal collection policy; FDCPA; debt recovery
8,Kart Dolandırıcılığı Tespit Modeli,Card Fraud Detection Model,Dolandırıcılık,"Kredi ve banka kartı işlemlerini gerçek zamanlı olarak milisaniyeler içinde analiz eder; tutar, lokasyon, satıcı kategorisi, zaman ve kart kullanım geçmişine göre dolandırıcılık olasılığını skorlar. Yüksek riskli işlemler anında engellenir veya 3D Secure ile ek doğrulamaya yönlendirilir.","Analyzes credit and debit card transactions in real-time within milliseconds; scores fraud probability based on amount, location, merchant category, time, and card usage history. High-risk transactions are blocked instantly or routed to 3D Secure for additional verification.",3D Secure; BIN saldırısı; CNP fraud; EMV çip doğrulama; POS fraud; anomali; chargeback; coğrafi hız kontrolü; e-ticaret fraud; gerçek zamanlı; izolasyon ormanı algoritması; kart dolandırıcılık; kart fraud; kart mevcut dolandırıcılık; kural motoru ve ML hibrit yaklaşım; phishing; rastgele orman sınıflandırıcı; satıcı kategori kodu (MCC); sinir ağı otomatik kodlayıcı; skimming; sorumluluk aktarımı; sınıf dengesizliği (SMOTE); yanlış pozitif oranı optimizasyonu; yetkilendirme blokesi; zamansal örüntü analizi (LSTM),3D Secure; BIN attack; CNN feature extraction; CNP fraud; EMV 3-D Secure 2.0 (3DS2); EMV chip authentication; Isolation Forest; LSTM temporal pattern; Mastercard Decision Intelligence; PCI-DSS v4.0 Req 6; POS fraud; Random Forest classifier; SMOTE class imbalance; Visa Risk Manager (VRM); anomaly; authorization hold; card fraud; card-not-present; card-present (CP) fraud; chargeback; e-commerce fraud; false positive rate optimization; geo-velocity check; liability shift; merchant category code (MCC); neural autoencoder; real-time detection; rule engine + ML hybrid; skimming,PCI-DSS v4.0; EMV 3DS; FFIEC; Visa Compromise
9,İşlem Dolandırıcılığı Tespit Modeli,Transaction Fraud Detection Model,Dolandırıcılık,"EFT, havale, internet bankacılığı ve mobil bankacılık üzerinden gerçekleştirilen para transferi işlemlerinde anomali tespit eder. Alıcı hesap geçmişi, transfer tutarı dağılımı, cihaz parmak izi ve oturum davranışı kullanılarak şüpheli transferler durdurulur veya ek onay istenir.","Detects anomalies in money transfer transactions via EFT, wire transfers, internet banking, and mobile banking. Suspicious transfers are halted or escalated for additional approval using recipient account history, transfer amount distribution, device fingerprinting, and session behavior.",ACH iade oranı izleme; EFT fraud; SWIFT ödeme takibi; alıcı hesap risk skorlaması; aracı hesap (mule) tespiti; cihaz parmak izi; coğrafi hız anomalisi; dinamik heterojen çizge; gerçek zamanlı ödeme taraması; güçlü müşteri kimlik doğrulama; havale dolandırıcılığı; hız kuralları motoru; işlem fraud; katman tabanlı işlem örüntüsü; mobil bankacılık fraud; oturum davranışı; topluluk sınıflandırıcı (ensemble); transfer fraud; wire fraud; yetkili itme ödemesi (APP) dolandırıcılığı; çizge sinir ağı (GNN); ödeme başlatma dolandırıcılığı,ACH fraud; ACH return rate monitoring; EFT fraud; Gradient Boosting (XGBoost/LightGBM); PSD2 Strong Customer Authentication; SWIFT Customer Security Programme (CSP); SWIFT gpi payment tracking; Voting Classifier ensemble; authorized push payment (APP) fraud; beneficiary account risk scoring; device fingerprint; dynamic heterogeneous graph; geo-velocity anomaly; graph convolutional network (GCN); graph neural network (GNN); layered transaction pattern; mobile banking fraud; mule account detection; payment initiation fraud; real-time payment screening; session behavior; temporal multi-relational graph; transaction fraud; transfer fraud; velocity rules engine; wire fraud,FFIEC; SWIFT CSP; PSD2; ACH rules
10,Hesap Ele Geçirme Tespit Modeli,Account Takeover Detection Model,Dolandırıcılık,"Müşteri hesabına yetkisiz erişim girişimlerini cihaz parmak izi, IP adresi coğrafi konumu, klavye yazım hızı ve fare hareketleri gibi davranışsal biyometri sinyallerini analiz ederek tespit eder. Hesap ele geçirildiği şüphesi durumunda oturum kapatılır ve müşteri çoklu kanaldan bilgilendirilir.","Detects unauthorized account access attempts by analyzing behavioral biometric signals like device fingerprints, IP geolocation, typing speed, and mouse dynamics. When account takeover is suspected, the session is terminated and the customer is notified through multiple channels.",ATO; IP coğrafi konum uyumsuzluğu; SIM değiştirme tespiti; bot tespiti; cihaz parmak izi; credential stuffing; davranışsal biyometri; dokunma basıncı örüntüsü; fare hareketi ısı haritası; hesap ele geçirme; imkansız seyahat tespiti; kademeli doğrulama tetikleme; karanlık ağ kimlik bilgisi izleme; kimlik bilgisi doldurma hızı; klavye dinamiği; mouse hareketi; oturum anomali tespiti; oturum kontrolü; pasif biyometri sürekli doğrulama; risk tabanlı kimlik doğrulama; tarayıcı parmak izi; uyarlanabilir kimlik doğrulama; yazım ritmi profilleme; çok faktörlü,ATO; FIDO2/WebAuthn; IP geolocation mismatch; MFA; NIST SP 800-63B authentication assurance; PSD2 SCA inherence factor; SCA; SIM swap detection; account takeover; adaptive authentication; behavioral biometrics; bot detection (CAPTCHA bypass); browser fingerprint canvas hash; credential stuffing; credential stuffing velocity; dark web credential monitoring; device fingerprint; impossible travel detection; keystroke dynamics; mouse dynamics; mouse movement heatmap; passive biometrics continuous authentication; risk-based authentication (RBA); session anomaly detection; step-up authentication trigger; touch pressure pattern (mobile); typing cadence profiling,PSD2 SCA; FFIEC; NIST 800-63; FIDO2
11,Kara Para Aklama Tespit Modeli,Anti-Money Laundering Model,Dolandırıcılık,"Müşteri işlemlerini şüpheli para aklama paternleri açısından analiz eder; structuring, smurfing, layering ve hızlı hesap döngüleri gibi tipolojileri tespit eder. MASAK düzenlemeleri ve FATF tavsiyeleri kapsamında zorunlu olup graf veritabanı ve ağ analizi teknikleri yaygın kullanılır.","Analyzes customer transactions for suspicious money laundering patterns; detects typologies such as structuring, smurfing, layering, and rapid account cycling. Required under MASAK regulations and FATF recommendations, with graph databases and network analysis techniques widely used.",AML; CTF; FIU; KYC; MASAK uyumu; SAR; STR; alarm onceliklendirme; ağ analizi; genis kapsamli durum tespiti; gercek faydalanici; graf sinir agi; islem izleme; kara para aklama; kural tabanli esik; layering; mali istihbarat birimi; musteri durum tespiti; musteri tani; nakit islem raporu; risk tabanli yaklasim; smurfing; structuring; supheli islem raporu; terorizmle mucadele finansmani; tipoloji tespiti; yanlis pozitif azaltma; şüpheli işlem bildirimi,AML; CDD; CTF; CTR; EDD; FIU; KYC; SAR; STR; alert triage; beneficial ownership; counter-terrorism financing; currency transaction report; customer due diligence; enhanced due diligence; false positive reduction; financial intelligence unit; graph DB; graph neural network; know your customer; layering; money laundering; network analysis; risk-based approach; rule-based threshold; smurfing; structuring; suspicious activity report; transaction monitoring; typology detection,FATF 40 Recommendations; MASAK 5549; BSA; AMLD6; Wolfsberg
12,Yaptırım Listesi Tarama Modeli,Sanctions Screening Model,Dolandırıcılık,"Müşteri kayıtları, hesap sahipleri, transfer alıcıları ve ticari karşı tarafları OFAC, BM, AB ve yerel yaptırım listeleriyle gerçek zamanlı karşılaştırır. İsim varyasyonları, transliterasyon farklılıkları ve takma adları yakalamak için Jaro-Winkler, Levenshtein gibi fuzzy matching algoritmaları kullanır.","Compares customer records, account holders, transfer recipients, and commercial counterparties against OFAC, UN, EU, and local sanctions lists in real-time. Uses fuzzy matching algorithms like Jaro-Winkler and Levenshtein to catch name variations, transliteration differences, and aliases.",AB konsolide listesi; BM Guvenlik Konseyi listesi; Jaro-Winkler; Levenshtein; OFAC tarama; PEP taraması; SDN listesi; Soundex; agirlikli puanlama; esik ayarlama; fonetik eslestirme; fuzzy matching; gercek faydalanici taramasi; gercek zamanli tarama; isim eşleştirme; izleme listesi filtreleme; konsolide yaptirim listesi; olumsuz medya taramasi; takma ad tespiti; toplu tarama; transliterasyon eslestirme; varlik cozumleme; varlik korelasyon skoru; yanlis pozitif orani; yaptırım taraması; yuzde 50 kurali,50 percent rule; DBA name matching; EU consolidated list; HM Treasury list; Jaro-Winkler; Levenshtein; OFAC screening; PEP screening; SDN list; Soundex; UN Security Council list; adverse media screening; alias detection; batch screening; beneficial owner screening; consolidated sanctions list; entity correlation score; entity resolution; false positive rate; fuzzy matching; name matching; phonetic matching; real-time screening; sanctions screening; threshold tuning; transliteration matching; watchlist filtering; weighted scoring,OFAC; UN Sanctions; EU Consolidated; HM Treasury; FATF Rec 6
13,Müşteri Kaybı Tahmin Modeli,Customer Churn Prediction Model,Müşteri Analitiği,"Bankayı önümüzdeki 3 ila 6 ay içinde terk etme olasılığı yüksek olan müşterileri önceden belirler. Ürün kullanım sıklığı, şikayet sayısı, çağrı merkezi etkileşimleri ve rakip banka transferleri analiz edilerek churn skoru üretilir. Riskli müşteriler için elde tutma kampanyaları tetiklenir.","Identifies customers at high risk of leaving the bank within the next 3 to 6 months. Generates a churn score by analyzing product usage frequency, complaint count, call center interactions, and transfers to competitor banks. Triggers retention campaigns for at-risk customers.",AUC-ROC; Cox orantili tehlike; F1 skoru; Kaplan-Meier tahmincisi; LightGBM; SHAP aciklanabilirlik; XGBoost; atil hesap tespiti; ayrılış tahmini; churn; elde tutma; erken uyari sinyali; geri kazanma kampanyasi; kayip orani; kesinlik-duyarlilik; musteri etkilesim skoru; müşteri elde tutma; müşteri kaybı; müşteri terk; olaya kadar sure analizi; ozellik onemi; proaktif elde tutma; rastgele orman; retention; survival analysis; tehlike fonksiyonu; topluluk modeli; urun kullanim dususu,AUC-ROC; Cox proportional hazard; F1 score; Kaplan-Meier estimator; LightGBM; SHAP explainability; XGBoost; attrition; attrition rate; customer churn; customer engagement score; customer retention; defection prediction; dormancy detection; early warning signal; ensemble model; feature importance; hazard function; precision-recall; proactive retention; product usage decline; random forest; retention; survival analysis; time-to-event analysis; win-back campaign,GDPR; KVKK; CRM standards
14,Müşteri Yaşam Boyu Değer Modeli,Customer Lifetime Value Model,Müşteri Analitiği,"Bir müşterinin banka ile ilişkisi süresince üreteceği toplam ekonomik değeri tahmin eder. Kullandığı ürün portföyü, işlem hacmi, ortalama bakiye, yaş, segment ve beklenen ilişki süresi kullanılarak hesaplanır. Pazarlama bütçe dağılımı ve VIP segment yönetiminde kullanılır.","Estimates the total economic value a customer will generate throughout their relationship with the bank. Calculated using product portfolio, transaction volume, average balance, age, segment, and expected relationship duration. Used for marketing budget allocation and VIP segment management.",ARPU; BG/NBD modeli; CLV; DCF; LTV; NPV; Pareto/NBD modeli; VIP segment; beta-geometrik model; elde tutma orani; gelecek değer; iskonto orani; karlılık; kayip orani etkisi; kohort analizi; kullanici basina ortalama gelir; marj carpani; musteri karlilik analizi; musteri ozvarligi; müşteri yaşam boyu değer; net bugünkü değer; parasal deger tahmini; pazarlama yatırımı; satin alma sikligi; sozlesmeli ve sozlesmesiz; tahmine dayali CLV; tarihsel CLV; yuksek degerli segment,ARPU; BG/NBD model; CLV; DCF; LTV; NPV; Pareto/NBD model; VIP segment; average revenue per user; beta-geometric model; churn rate impact; cohort analysis; contractual vs non-contractual; customer equity; customer lifetime value; customer profitability analysis; discount rate; future value; high-value segment; historical CLV; margin multiple; marketing investment; monetary value prediction; predictive CLV; profitability; purchase frequency; retention rate,Marketing analytics; segment reporting; CRM
